ID,Exhibition,Space,Era,Country,Medium,Type of Exhibition,Principal Artist,Start Day,End Day,Duration,Report Year,Visitors,Charge?,Co-Organisers,Sponsors,Link,Description,A review with more info,days_to_start,days_to_end,exhib_duration
11,The Ey Exhibition: Sonia Delaunay,The Eyal Ofer Galleries,Modernism,France,Painting,Artist,Sonia Delaunay,2015-04-15,2015-08-09,116.0,2015-16,,Free,,EY Tate Arts Partnership. Supported by the Huo Family Foundation (UK),http://www.tate.org.uk/whats-on/tate-modern/exhibition/sonia-delaunay,"Sonia Delaunay (1885–1979) was a key figure in the Parisian avant-garde and became the European doyenne of abstract art. Throughout the first half of the twentieth century, she celebrated the modern world of movement, technology and urban life, exploring new ideas about colour theory together with her husband Robert Delaunay. This is the first UK retrospective to assess the breadth of her vibrant artistic practice across a wide range of media. It features the groundbreaking paintings, textiles and clothes she made across a sixty-year career, as well as the results of her innovative collaborations with poets, choreographers and manufacturers, from Diaghilev to Liberty.",,2799,2915,117
12,Agnes Martin,,Post-War,USA,Painting,Artist,Agnes Martin,2015-06-03,2015-10-11,130.0,2015-16,,Free,,"The Henry Luce Foundation and Terra Foundation for American Art. With additional support from the Artworkers Retirement Society, the Agnes Martin Exhibition Supporters Group and Tate International Council",http://www.tate.org.uk/whats-on/tate-modern/exhibition/agnes-martin,"Agnes Martin is perhaps most recognised for her evocative paintings marked out in subtle pencil lines and pale colour washes. Although restrained, her style was underpinned by her deep conviction in the emotive and expressive power of art. Martin believed that spiritual inspiration and not intellect created great work. ‘Without awareness of beauty, innocence and happiness’ Martin wrote ‘one cannot make works of art’. Martin lived and worked in New York, becoming a key figure in the male-dominated fields of 1950s and 1960s abstraction. Then in 1967, just as her art was gaining acclaim, Martin abandoned the city and went in search of solitude and silence. For almost two years she travelled across the US and Canada before finally settling in New Mexico as Georgia O’Keeffe, Mark Rothko, DH Lawrence and Edward Hopper had done before her. Working within tightly prescribed limits she imposed on her own practice Martin was able to continue to make extraordinary, visionary paintings, for over three decades until her death in 2004. This is the first retrospective of Martin’s work since 1994. Covering the full breadth of her practice, this extensive exhibition will reveal Martin’s early and little known experiments with different media and trace her development from biomorphic abstraction to the mesmerising grid and striped canvases that became her hallmark.",,2848,2978,131
13,Hyundai Commission 2015: Abraham Cruzvillegas: Empty Lot,Tubrine Hall,Contemporary,Mexico,Installation,Miniature / One off,Abraham Cruzvillegas,2015-10-13,2016-04-03,173.0,2015-16,,Free,,"Hyundai Motor and Tate Modern, Terra Foundation for American Art. With additional support from the Performing Sculpture Supporters Circle, Tate International Council and Tate Patrons",http://www.tate.org.uk/whats-on/tate-modern/exhibition/hyundai-commission-2015-abraham-cruzvillegas-empty-lot,"Empty Lot is a large geometric sculpture created using scaffolding, a grid of triangular wooden planters, and soil collected from parks across London including Peckham, Haringey and Westminster. Nothing will be planted in the soil, but it will be lit by lamps and watered throughout the six month display. The unpredictable nature of the work, which may grow and change from one week to the next, provokes questions about the city and nature, as well as wider ideas of chance, change, and hope.",,2980,3153,174
14,Alexander Calder: Performing Sculpture,,Post-War,USA,Sculpture,Artist,Alexander Calder,2015-11-11,2016-04-03,144.0,2015-16,,Free,,EY Tate Arts Partnership Supported by The World Goes Pop Exhibition Supporters Group and Tate International Council,http://www.tate.org.uk/whats-on/tate-modern/exhibition/alexander-calder-performing-sculpture,"Calder travelled to Paris in the 1920s, having originally trained as an engineer, and by 1931 he had invented the mobile, a term coined by Duchamp to describe Calder’s sculptures which moved of their own accord. Alexander Calder Antennae with Red and Blue Dots c1953 Tate © 2015 Calder Foundation, New York / DACS London. His dynamic works brought to life the avant-garde’s fascination with movement, and brought sculpture into the fourth dimension. Continuing Tate Modern’s acclaimed reassessments of key figures in modernism, Alexander Calder: Performing Sculpture will reveal how motion, performance and theatricality underpinned his practice. It will bring together major works from museums around the world, as well as showcasing his collaborative projects in the fields of film, theatre, music and dance.",,3009,3153,145
15,The Ey Exhibition: The World Goes Pop,The Eyal Ofer Galleries,Post-War,Mixed,Mixed,Movement,- ,2015-09-17,2016-01-24,129.0,2015-16,,Paid,,Hyundai Card. With additional support from Tate International Council and Tate Patrons,http://www.tate.org.uk/whats-on/tate-modern/exhibition/world-goes-pop,"Tate Modern is ready to tell a global story of pop art, breaking new ground along the way, and revealing a different side to the artistic and cultural phenomenon. From Latin America to Asia, and from Europe to the Middle East, this explosive exhibition connects the dots between art produced around the world during the 1960s and 1970s, showing how different cultures and countries responded to the movement. Politics, the body, domestic revolution, consumption, public protest, and folk – all will be explored and laid bare in eye-popping Technicolor and across many media, from canvas to car bonnets and pinball machines. The exhibition will reveal how pop was never just a celebration of western consumer culture, but was often a subversive international language of protest – a language that is more relevant today than ever.",,2954,3083,130
16,Performing For The Camera,The Eyal Ofer Galleries,Mixed,Mixed,Photography,Theme,- ,2016-02-18,2016-06-12,115.0,2015-16,,Paid,,-,http://www.tate.org.uk/whats-on/tate-modern/exhibition/performing-camera,"Photography has been used to capture performances since its invention – from the stars of the Victorian stage to the art happenings of the 1960s, right up to today’s trend for selfies. This exhibition explores the relationship between the two forms, looking at how performance artists use photography and how photography is in itself a performances. Performing for the Camera includes over 500 images, including vintage prints, large scale works, marketing posters and Instagrammed photos. It shows how photographs have captured performances by important artists including Yves Klein and Yayoi Kusama, and ground-breaking collaborations between photographers, performers and dancers. It looks at how artists including Francesca Woodman, Erwin Wurm and others have used photography as a stage on which to perform, and how figures from Cindy Sherman and Hannah Wilke to Marcel Duchamp and Samuel Fosso have used photography to explore identity",,3108,3223,116
17,Henri Matisse: The Cut-Outs,,Modernism,France,Sculpture,Artist,Henri Matisse,2014-04-17,2014-09-07,143.0,2014-15,562622,Paid, New York at the Museum of Modern Art ,Bank of America Merrill Lynch. With additional sponsorship from Hanjin Shipping. Supported by Henri Matisse Exhibition Supporters Group and Tate Patrons ,http://www.tate.org.uk/whats-on/tate-modern/exhibition/henri-matisse-cut-outs,"Henri Matisse is a giant of modern art. This landmark show explores the final chapter in his career in which he began ‘carving into colour’ and his series of spectacular cut-outs was born.The exhibition represents a once-in-a-lifetime chance to see so many of the artist’s works in one place and discover Matisse’s final artistic triumph. In his late sixties, when ill health first prevented Matisse from painting, he began to cut into painted paper with scissors to make drafts for a number of commissions. In time, Matisse chose cut-outs over painting: he had invented a new medium. From snowflowers to dancers, circus scenes and a famous snail, the exhibition showcases a dazzling array of 120 works made between 1936 and 1954. Bold, exuberant and often large in scale, the cut-outs have an engaging simplicity coupled with incredible creative sophistication. The exhibition marks an historic moment, when treasures from around the world can be seen together. Tate’s The Snail 1953 is shown alongside its sister work Memory of Oceania 1953 and Large Composition with Masks 1953 at 10 metres long. A photograph of Matisse’s studio reveals that these works were initially conceived as a unified whole, and this is the first time they will have been together in over 50 years. The exhibition also places side by side the largest number of Matisse’s famous Blue Nudes ever exhibited together. London is first to host, before the exhibition travels to New York at the Museum of Modern Art and after which the works return to galleries and private owners around the world.",,2436,2579,144
18,Project Space: A Chronicle of Interventions,Project Space,Mixed,Mixed,Mixed,Theme,-,2014-05-02,2014-07-13,72.0,2014-15,,Free,"TEOR/éTica, San José, Costa Rica,","Catherine Petitgas, Tate International Council, Tate Patrons and Tate Americas Foundation",http://www.tate.org.uk/whats-on/tate-modern/exhibitionseries/project-space/project-space-chronicle-interventions,"A Chronicle of Interventions explores the multiple histories of intervention that have occurred throughout Central America during the 20th century and displays the work of seven practicing artists who each explore various foreign, economic, political and military interventions which have shaped the region. Harking back to 1980s New York, the exhibition begins with an archival display of the seminal installation by Group Material, entitled Timeline: A Chronicle of US Intervention in Central and Latin America, the work was originally installed in New York’s PS1 Gallery in 1984, when Central America was in the spotlight of political and economic debate in the West. Fast forward thirty years and the exhibition returns to this history of intervention and its consequences, through the work of contemporary artists who chronicle related historical episodes, accounts and phenomena. Two of the films found in this display refer back to U.S. colonialism in Panama and more specifically to the building of the Panama Canal. Humberto Vélez focuses on the metaphor of the subjected human body and the representation of power and strength over a nation, while Michael Stevenson considers the complex relationship sustained between the USA and Panama after the signing of the Torrijos-Carter Treaties in 1977 - which promised the handover of theCanal Zoneto the Central American country. The works of Óscar Figueroa and Andreas Siekmann separately address the existence of a mono-cultural economy based almost exclusively on the extraction of bananas and coffee and the impact that international corporations such as the United Fruit Company have had on the natural and social landscape of much of this region. The performance work of Regina José Galindo confronts the torrid history of Guatemalaand its hidden genocides. Her explorations of unequal power relations often expose the violent consequences that regularly result from political interventions.",,2451,2523,73
19,Malevich,,Modernism,USSR,Painting,Artist,Kazmir Malevich,2014-07-16,2014-10-26,102.0,2014-15,,Paid,"Stedelijk Museum, Amsterdam and Art and Exhibition Hall of the Federal Republic of Germany, Bonn",Blavatnik Family Foundation and Amsterdam Trade Bank with additional support from R and S Cohen Foundation,http://www.tate.org.uk/whats-on/tate-modern/exhibition/malevich,"Kazimir Malevich, an artist as influential as he was radical, cast a long shadow over the history of modern art. This, his first retrospective in thirty years and the first ever in the UK, unites works from collections in Russia, the US and Europe to tell a fascinating story of revolutionary ideals and the power of art itself. Malevich (1879–1935) lived and worked through one of the most turbulent periods in twentieth century history. Having come of age in Tsarist Russia, Malevich witnessed the First World War and the October Revolution first-hand. His early experiments as a painter led him towards the invention of suprematism, a bold visual language of abstract geometric shapes and stark colours, epitomised by the Black Square. One of the defining works of Modernism, the painting was revealed to the world after months of secrecy and was hidden again for almost half a century after its creator’s death. It sits on a par with Duchamp’s ‘readymade’ as a game-changing moment in twentieth century art and continues to inspire and confound viewers to this day. Starting from his early paintings of Russian landscapes, agricultural workers and religious scenes, the exhibition follows Malevich’s journey towards abstract painting and his suprematist masterpieces, his temporary abandonment of painting in favour of teaching and writing, and his much-debated return to figurative painting in later life. Bringing together paintings, sculptures, theatre and an unprecedented collection of drawings it offers a complete view of his career, celebrating some of the most progressive art ever made. With generous loans from the Khardzhiev Collection, Amsterdam and the Costakis Collection, SMCA-Thessaloniki. The exhibition is organised by Tate Modern, in collaboration with the Stedelijk Museum, Amsterdam and Art and Exhibition Hall of the Federal Republic of Germany, Bonn.",,2526,2628,103
20,Alibis: SIgmar Polke 1963-2010,,"Post-War, Contemporary",Germany,Mixed,Artist,Sigmar Polke,2014-10-09,2015-02-08,122.0,2014-15,,Paid,Moma,Fergus McCaffrey with additional support from The Sigmar Polke Exhibition Supporters Group and Tate International Council,http://www.tate.org.uk/whats-on/tate-modern/exhibition/alibis-sigmar-polke-1963-2010,"Sigmar Polke was one of the most insatiably experimental artists of the twentieth century. This retrospective is the first to bring together the unusually broad range of media he worked with during his five-decade career – not only painting, drawing, photography, film and sculpture, but also notebooks, slide projections and photocopies. He worked in off-the-wall materials ranging from meteor dust to gold, bubble wrap, snail juice, potatoes, soot and even uranium, all the while resisting easy categorisation. Polke’s relentlessly inventive works range in size from the intimacy of a notebook to monumental paintings. He took a wildly different approach to art-making, from his responses to consumer society in the 1960s to his interest in travel, drugs and communal living in the 1970s and his increasingly experimental practice after 1980. Beneath Polke’s irreverent wit, promiscuous intelligence, and chance operations lay a deep scepticism of all authority. It would be impossible to understand this attitude, and the creativity that grew out of it, without considering Polke’s biography and its setting. In 1945, near the end of World War II, his family fled Silesia (in present-day Poland) for what would soon be Soviet-occupied East Germany, and then escaped again, this time to West Germany, in 1953. Polke grew up at a time when many Germans deflected blame for the atrocities of the Nazi period with the alibi, 'I didn’t see anything'. In various works in the exhibition, Polke opposes many Germans of his generation's tendency to ignore the Nazi past, as if picking off the scab to reopen the wound.",,2611,2733,123
21,"Conflict, Time, Photgraphy",,Mixed,Mixed,Photography,Theme,-,2014-11-26,2015-03-15,109.0,2014-15,,Free,,-,http://www.tate.org.uk/whats-on/tate-modern/exhibition/conflict-time-photography,"From the seconds after a bomb is detonated to a former scene of battle years after a war has ended, this moving exhibition focuses on the passing of time, tracing a diverse and poignant journey through over 150 years of conflict around the world, since the invention of photography. In an innovative move, the works are ordered according to how long after the event they were created from moments, days and weeks to decades later. Photographs taken seven months after the fire bombing of Dresden are shown alongside those taken seven months after the end of the First Gulf War. Images made in Vietnam 25 years after the fall of Saigon are shown alongside those made in Nakasaki 25 years after the atomic bomb. The result is the chance to make never-before-made connections while viewing the legacy of war as artists and photographers have captured it in retrospect. The immediate trauma of war can be seen in the eyes of Don McCullin’s Shell-shocked US Marine 1968, while the destruction of buildings and landscapes are documented by Simon Norfolk’s Afghanistan: Chronotopia 2001. Different conflicts will also reappear from multiple points in time throughout the exhibition. The Second World War for example is addressed in Jerzy Lewczynski’s 1960 photographs of the Wolf's Lair / Adolf Hitler's r Headquarters, Shomei Tomatsu’s images of objects found in Nagasaki, Kikuji Kawada’s epic project The Map made in Hiroshima in the 1960s, Michael Schmidt’s Berlin streetscapes from 1980 and Nick Waplington’s 1993 close-ups of cell walls from a Prisoner of War camp in Wales. The exhibition is staged to coincide with the 2014 centenary and concludes with new and recent projects by British, German, Polish and Syrian photographers which reflect on the First World War a century after it began.",,2659,2768,110
22,Richard Tuttle: I Don't Know. The Weave of Textile Language,Turbine Hall,Contemporary ,UK,Sculpture,Miniature / One off,Richard Tuttle,2014-10-14,2015-04-06,174.0,2014-15,,Free ,Whitechapel Gallery,The I Don’t Know . The Weave of Textile Language Supporters Circle,http://www.tate.org.uk/whats-on/tate-modern/exhibition/richard-tuttle-i-dont-know-weave-textile-language,"Tate Modern’s Turbine Hall has played host to some of the world’s most striking and memorable works of contemporary art. Now, this vast space welcomes the largest work ever created by renowned American sculptor Richard Tuttle (born 1941). Entitled I Don’t Know . The Weave of Textile Language, this newly commissioned sculpture combines vast swathes of fabrics designed by the artist from both man-made and natural fibres in three bold and brilliant colours. The commission is part of a wider survey of the artist taking place in London this autumn and comprising a major exhibition at the Whitechapel Gallery surveying five decades of Tuttle's career and a sumptuous new publication rooted in the artist's own collection of historic and contemporary textiles",,2616,2790,175
23,Marlene Dumas: The Image as Burden,,Contemporary ,South Africa,Painting,Artist,Marlene Dumas,2015-02-05,2015-05-10,94.0,2014-15,,Free,Stedelijk,Mondriaan Fund with additional support from The Image as Burden Exhibition Supporters Group and Tate Patron,http://www.tate.org.uk/whats-on/tate-modern/exhibition/marlene-dumas-image-burden,"Marlene Dumas is one of the most prominent painters working today. Her intense, psychologically charged works explore themes of sexuality, love, death and shame, often referencing art history, popular culture and current affairs – themes you can explore through related events. 'Secondhand images', she has said, 'can generate first-hand emotions.' Dumas never paints directly from life, yet life in all its complexity is right there on the canvas. Her subjects are drawn from both public and personal references and include her daughter and herself, as well as recognisable faces such as Amy Winehouse, Naomi Campbell, Princess Diana, even Osama bin Laden. The results are often intimate and at times controversial, where politics become erotic and portraits become political. She plays with the imagination of her viewers, their preconceptions and fears. Born in 1953 in Cape Town, South Africa, Dumas moved to the Netherlands in 1976, where she came to prominence in the mid-1980s. This large-scale survey is the most significant exhibition of her work ever to be held in Europe, charting her career from early works, through seminal paintings to new works on paper. The title of the exhibition is taken from The Image as Burden 1993, a small painting depicting one figure carrying another. As with many of Dumas's works, her choice of title deeply affects our interpretation of the work. It hints at the sense of responsibility faced by the artist in choosing to create an image that can translate ideas about painting and the position of the artist. For Dumas it is important 'to give more attention to what the painting does to the image, not only to what the image does to the painting.' In an age dominated by the digital image and mass media, Dumas cherishes the physicality of the human touch with work that is a testament to the meaning and potency of painting.",,2730,2824,95
24,Saloua Raouda Choucair,,Post-War,Lebanon,Sculpture,Artist,Saloua Raouda Choucair,2013-04-17,2013-11-17,214.0,2013-14,,Paid,,"averda, The Choucair Exhibition Supporters Group",http://www.tate.org.uk/whats-on/tate-modern/exhibition/saloua-raouda-choucair,"The world’s first major museum exhibition of Lebanese artist Saloua Raouda Choucair celebrates this remarkable artist’s extraordinary body of work. Choucair is a pioneer of abstract art in the Middle East and, born in 1916, takes her rightful position as a significant figure in the history of twentieth-century art. Through painting and drawing, architecture, textiles and jewellery, as well as, of course, her prolific and experimental sculptures, visitors can discover how Choucair worked in diverse media pursuing her interests in science, mathematics and Islamic art and poetry. Many of the works, made over a period of five decades, have not previously been seen outside of Lebanon. A rare female voice in the Beirut art scene from the 1940s onwards, Choucair’s work combines elements of western abstraction with Islamic aesthetics. It is characterised by an experimental approach to materials alongside an elegant use of modular forms, lines and curves drawn from the traditions of Islamic design. The exhibition focuses on Choucair’s sculptures from the 1950s to the 1980s, created in wood, metal, stone and fibreglass, as well as extensive examples of her early abstract paintings and some key figurative works such as Self-Portrait 1943 and Paris-Beirut 1948.",,2071,2285,215
