systemNumber,Production date,prod_date_primary,start_year,end_year,midpoint_year,date_parse_status
O24898,2nd century to 5th century,2nd c to 5th c,101.0,200.0,150.0,parsed_century_single
O129109,1992,1992,1992.0,1992.0,1992.0,parsed_ad_single
O1770613,2023,2023,2023.0,2023.0,2023.0,parsed_ad_single
O1193729,2007,2007,2007.0,2007.0,2007.0,parsed_ad_single
O1530652,1995,1995,1995.0,1995.0,1995.0,parsed_ad_single
O1224888,2005,2005,2005.0,2005.0,2005.0,parsed_ad_single
O1733511,,,,,,no_date_text
O1733512,,,,,,no_date_text
O1673867,2020,2020,2020.0,2020.0,2020.0,parsed_ad_single
O1786611,2023,2023,2023.0,2023.0,2023.0,parsed_ad_single
O63946,8-9th century,8-9th c,701.0,900.0,800.0,parsed_century_range
O154927,1993,1993,1993.0,1993.0,1993.0,parsed_ad_single
O1771102,2003,2003,2003.0,2003.0,2003.0,parsed_ad_single
O119437,2004,2004,2004.0,2004.0,2004.0,parsed_ad_single
O6410,1970,1970,1970.0,1970.0,1970.0,parsed_ad_single
O1136044,1905 - 1906,1905-1906,1905.0,1906.0,1906.0,parsed_ad_range
O24851,3rd century BC-1st century BC,3rd cbc-1st cbc,-300.0,-1.0,-150.0,parsed_century_range
O40943,ca. 1802,1802,1802.0,1802.0,1802.0,parsed_ad_single
O10629,1962,1962,1962.0,1962.0,1962.0,parsed_ad_single
O1796336,,,,,,no_date_text
O1458765,1957-58,1957-58,1957.0,58.0,1008.0,parsed_ad_range
O1781329,2023,2023,2023.0,2023.0,2023.0,parsed_ad_single
O141868,2005,2005,2005.0,2005.0,2005.0,parsed_ad_single
O1458764,1994,1994,1994.0,1994.0,1994.0,parsed_ad_single
O3058,1983,1983,1983.0,1983.0,1983.0,parsed_ad_single
O150329,08/1881,08/1881,,,,unparsed
O1383101,2015,2015,2015.0,2015.0,2015.0,parsed_ad_single
O1435329,2010,2010,2010.0,2010.0,2010.0,parsed_ad_single
O1290852,1524-1529,1524-1529,1524.0,1529.0,1526.0,parsed_ad_range
O1290850,1524-1529,1524-1529,1524.0,1529.0,1526.0,parsed_ad_range
O1278467,1524-1529,1524-1529,1524.0,1529.0,1526.0,parsed_ad_range
O161543,1984,1984,1984.0,1984.0,1984.0,parsed_ad_single
O1278468,1524-1529,1524-1529,1524.0,1529.0,1526.0,parsed_ad_range
O96374,ca. 1746,1746,1746.0,1746.0,1746.0,parsed_ad_single
O249946,1985,1985,1985.0,1985.0,1985.0,parsed_ad_single
O24352,1980,1980,1980.0,1980.0,1980.0,parsed_ad_single
O248870,1991,1991,1991.0,1991.0,1991.0,parsed_ad_single
O119818,2004,2004,2004.0,2004.0,2004.0,parsed_ad_single
O75975,2000,2000,2000.0,2000.0,2000.0,parsed_ad_single
O1771174,2012,2012,2012.0,2012.0,2012.0,parsed_ad_single
O19781,1968,1968,1968.0,1968.0,1968.0,parsed_ad_single
O1596302,,,,,,no_date_text
O1761936,2021,2021,2021.0,2021.0,2021.0,parsed_ad_single
O457503,1987,1987,1987.0,1987.0,1987.0,parsed_ad_single
O6851,1969,1969,1969.0,1969.0,1969.0,parsed_ad_single
O1264831,2010,2010,2010.0,2010.0,2010.0,parsed_ad_single
O1793805,,,,,,no_date_text
O1793804,,,,,,no_date_text
O1793803,,,,,,no_date_text
O1409426,19th century,19th c,1801.0,1900.0,1850.0,parsed_century_single
O81616,7th century-8th century,7th c-8th c,601.0,800.0,700.0,parsed_century_range
O25021,12th century,12th c,1101.0,1200.0,1150.0,parsed_century_single
O19119,1969-1970,1969-1970,1969.0,1970.0,1970.0,parsed_ad_range
O1224897,2006,2006,2006.0,2006.0,2006.0,parsed_ad_single
O65328,3rd century - 5th century,3rd c-5th c,201.0,500.0,350.0,parsed_century_range
O25057,late 2nd century B.C.,2nd c b,101.0,200.0,150.0,parsed_century_single
O145297,14th century -15th century,14th c-15th c,1301.0,1500.0,1400.0,parsed_century_range
O1806964,2004,2004,2004.0,2004.0,2004.0,parsed_ad_single
O1389155,2018,2018,2018.0,2018.0,2018.0,parsed_ad_single
O1792503,2017,2017,2017.0,2017.0,2017.0,parsed_ad_single
O250098,1992,1992,1992.0,1992.0,1992.0,parsed_ad_single
O297313,2006,2006,2006.0,2006.0,2006.0,parsed_ad_single
O25087,10th century-11th century,10th c-11th c,901.0,1100.0,1000.0,parsed_century_range
O185578,12th century,12th c,1101.0,1200.0,1150.0,parsed_century_single
O24952,7th century,7th c,601.0,700.0,650.0,parsed_century_single
O19515,1978,1978,1978.0,1978.0,1978.0,parsed_ad_single
O177054,18th century,18th c,1701.0,1800.0,1750.0,parsed_century_single
O1226981,2011,2011,2011.0,2011.0,2011.0,parsed_ad_single
O24838,late 2nd century-3rd century,2nd c-3rd c,101.0,300.0,200.0,parsed_century_range
O24734,9th century-10th century,9th c-10th c,801.0,1000.0,900.0,parsed_century_range
O64444,early 10th century,10th c,901.0,1000.0,950.0,parsed_century_single
O24981,9th century,9th c,801.0,900.0,850.0,parsed_century_single
O151582,late 19th century,19th c,1801.0,1900.0,1850.0,parsed_century_single
O19386,1968,1968,1968.0,1968.0,1968.0,parsed_ad_single
O1781327,2021,2021,2021.0,2021.0,2021.0,parsed_ad_single
O248866,1990,1990,1990.0,1990.0,1990.0,parsed_ad_single
O1434228,2017,2017,2017.0,2017.0,2017.0,parsed_ad_single
O1772099,2016,2016,2016.0,2016.0,2016.0,parsed_ad_single
O6868,1954,1954,1954.0,1954.0,1954.0,parsed_ad_single
O17210,1840-1860,1840-1860,1840.0,1860.0,1850.0,parsed_ad_range
O25040,2nd century-3rd century,2nd c-3rd c,101.0,300.0,200.0,parsed_century_range
O119129,1991,1991,1991.0,1991.0,1991.0,parsed_ad_single
O119119,1991,1991,1991.0,1991.0,1991.0,parsed_ad_single
O470707,1983,1983,1983.0,1983.0,1983.0,parsed_ad_single
O1786344,2024,2024,2024.0,2024.0,2024.0,parsed_ad_single
O25052,9th century-10th century,9th c-10th c,801.0,1000.0,900.0,parsed_century_range
O9906,1998,1998,1998.0,1998.0,1998.0,parsed_ad_single
O256237,1987,1987,1987.0,1987.0,1987.0,parsed_ad_single
O256235,1987,1987,1987.0,1987.0,1987.0,parsed_ad_single
O24980,7th century,7th c,601.0,700.0,650.0,parsed_century_single
O24859,8th century,8th c,701.0,800.0,750.0,parsed_century_single
O24992,early 9th century,9th c,801.0,900.0,850.0,parsed_century_single
O1254269,2011,2011,2011.0,2011.0,2011.0,parsed_ad_single
O24954,7th century,7th c,601.0,700.0,650.0,parsed_century_single
O1803764,2024,2024,2024.0,2024.0,2024.0,parsed_ad_single
O40333,7th century - 8th century,7th c-8th c,601.0,800.0,700.0,parsed_century_range
O50305,2000,2000,2000.0,2000.0,2000.0,parsed_ad_single
O233,30 BC - 400 AD,30bc-400ad,-3000.0,40000.0,18500.0,parsed_century_range
O59465,early 13th century,13th c,1201.0,1300.0,1250.0,parsed_century_single
O20276,8th century-9th century,8th c-9th c,701.0,900.0,800.0,parsed_century_range
O24764,late 9th century - early 10th century,9th c-10th c,801.0,1000.0,900.0,parsed_century_range
O65784,4th Century,4th c,301.0,400.0,350.0,parsed_century_single
O3565,1983,1983,1983.0,1983.0,1983.0,parsed_ad_single
O77793,1635-1640,1635-1640,1635.0,1640.0,1638.0,parsed_ad_range
O19514,1972,1972,1972.0,1972.0,1972.0,parsed_ad_single
O116552,1971,1971,1971.0,1971.0,1971.0,parsed_ad_single
O25029,c. 8th century,8th c,701.0,800.0,750.0,parsed_century_single
O6516,1960,1960,1960.0,1960.0,1960.0,parsed_ad_single
O6413,1970,1970,1970.0,1970.0,1970.0,parsed_ad_single
O83556,10th century,10th c,901.0,1000.0,950.0,parsed_century_single
O24788,11th century-12th century,11th c-12th c,1001.0,1200.0,1100.0,parsed_century_range
O2068,ca. 1960,1960,1960.0,1960.0,1960.0,parsed_ad_single
O172856,ca. 1725,1725,1725.0,1725.0,1725.0,parsed_ad_single
O172836,ca. 1725,1725,1725.0,1725.0,1725.0,parsed_ad_single
O6972,ca. 1938,1938,1938.0,1938.0,1938.0,parsed_ad_single
O24763,ca. 10th century,10th c,901.0,1000.0,950.0,parsed_century_single
O70439,1881,1881,1881.0,1881.0,1881.0,parsed_ad_single
O68995,12th century,12th c,1101.0,1200.0,1150.0,parsed_century_single
O306813,1987,1987,1987.0,1987.0,1987.0,parsed_ad_single
O256238,1987,1987,1987.0,1987.0,1987.0,parsed_ad_single
O256236,1987,1987,1987.0,1987.0,1987.0,parsed_ad_single
O24855,5th century-6th century,5th c-6th c,401.0,600.0,500.0,parsed_century_range
O40421,ca. 1892-1893,1892-1893,1892.0,1893.0,1892.0,parsed_ad_range
O25046,6th century-7th century,6th c-7th c,501.0,700.0,600.0,parsed_century_range
O66824,10th century,10th c,901.0,1000.0,950.0,parsed_century_single
O150345,ca. 1900,1900,1900.0,1900.0,1900.0,parsed_ad_single
O145801,11th century -12th century,11th c-12th c,1001.0,1200.0,1100.0,parsed_century_range
O1803107,,,,,,no_date_text
O1459729,2016,2016,2016.0,2016.0,2016.0,parsed_ad_single
O14548,1680,1680,1680.0,1680.0,1680.0,parsed_ad_single
O176612,14th century-16th century,14th c-16th c,1301.0,1600.0,1450.0,parsed_century_range
O82512,16th century-18th century,16th c-18th c,1501.0,1800.0,1650.0,parsed_century_range
O64460,late 9th century- 10th Century,9th c-10th c,801.0,1000.0,900.0,parsed_century_range
O150475,ca. 1860,1860,1860.0,1860.0,1860.0,parsed_ad_single
O1759503,1620-1640,1620-1640,1620.0,1640.0,1630.0,parsed_ad_range
O65828,4th century-5th century,4th c-5th c,301.0,500.0,400.0,parsed_century_range
O83582,18th century,18th c,1701.0,1800.0,1750.0,parsed_century_single
O1547827,2019,2019,2019.0,2019.0,2019.0,parsed_ad_single
O70441,1926,1926,1926.0,1926.0,1926.0,parsed_ad_single
O64235,11th century-12th century,11th c-12th c,1001.0,1200.0,1100.0,parsed_century_range
O65822,3rd century-5th century,3rd c-5th c,201.0,500.0,350.0,parsed_century_range
O127929,1484,1484,1484.0,1484.0,1484.0,parsed_ad_single
O168517,ca. 585-600,585-600,585.0,600.0,592.0,parsed_ad_range
O24982,18th century,18th c,1701.0,1800.0,1750.0,parsed_century_single
O18045,19th century,19th c,1801.0,1900.0,1850.0,parsed_century_single
O471997,ca. 9th century,9th c,801.0,900.0,850.0,parsed_century_single
O25015,mid-13th century,mid-13th c,,,,unparsed_century_range
O1510667,,,,,,no_date_text
O7002,1973,1973,1973.0,1973.0,1973.0,parsed_ad_single
O75704,ca. 1929 - ca. 1931,1929-1931,1929.0,1931.0,1930.0,parsed_ad_range
O124052,1873,1873,1873.0,1873.0,1873.0,parsed_ad_single
O67429,1778,1778,1778.0,1778.0,1778.0,parsed_ad_single
O60654,mid 11th century,mid 11th c,1001.0,1100.0,1050.0,parsed_century_single
O24758,ca. 11th century,11th c,1001.0,1100.0,1050.0,parsed_century_single
O59203,12th century,12th c,1101.0,1200.0,1150.0,parsed_century_single
O128214,ca. 1883,1883,1883.0,1883.0,1883.0,parsed_ad_single
O128220,ca. 1883,1883,1883.0,1883.0,1883.0,parsed_ad_single
O128212,ca. 1883,1883,1883.0,1883.0,1883.0,parsed_ad_single
O128209,ca. 1883,1883,1883.0,1883.0,1883.0,parsed_ad_single
O128222,ca. 1883,1883,1883.0,1883.0,1883.0,parsed_ad_single
O128217,ca. 1883,1883,1883.0,1883.0,1883.0,parsed_ad_single
O128213,ca. 1883,1883,1883.0,1883.0,1883.0,parsed_ad_single
O25036,3rd century - 4th century,3rd c-4th c,201.0,400.0,300.0,parsed_century_range
O1372393,2010,2010,2010.0,2010.0,2010.0,parsed_ad_single
O70366,ca. 1581 - ca. 1584,1581-1584,1581.0,1584.0,1582.0,parsed_ad_range
O24985,c. 18th century,18th c,1701.0,1800.0,1750.0,parsed_century_single
O24741,Possibly 15th century,15th c,1401.0,1500.0,1450.0,parsed_century_single
O67427,ca. 1710,1710,1710.0,1710.0,1710.0,parsed_ad_single
O64920,6th century-7th century,6th c-7th c,501.0,700.0,600.0,parsed_century_range
O24993,c. 10th century,10th c,901.0,1000.0,950.0,parsed_century_single
O24915,ca. 2nd century BC-2nd century AD,2nd cbc-2nd cad,-200.0,200.0,0.0,parsed_century_range
O24913,ca. 2nd century BC-2nd century AD,2nd cbc-2nd cad,-200.0,200.0,0.0,parsed_century_range
O25061,ca. 1st century BC,1st cbc,-100.0,-1.0,-50.0,parsed_century_single
O25004,c. early 15th century,15th c,1401.0,1500.0,1450.0,parsed_century_single
O1470681,,,,,,no_date_text
O1247475,1702,1702,1702.0,1702.0,1702.0,parsed_ad_single
O6408,1971,1971,1971.0,1971.0,1971.0,parsed_ad_single
O24906,2nd century BC to 1st century BC,2nd cbc to 1st cbc,-200.0,-101.0,-150.0,parsed_century_single
O1779717,2021,2021,2021.0,2021.0,2021.0,parsed_ad_single
O24909,2nd century BC - 2nd century,2nd cbc-2nd c,-200.0,200.0,0.0,parsed_century_range
O24911,2nd century BC - 2nd century,2nd cbc-2nd c,-200.0,200.0,0.0,parsed_century_range
O130453,ca. 550 - ca. 575,550-575,550.0,575.0,562.0,parsed_ad_range
O1748573,2022,2022,2022.0,2022.0,2022.0,parsed_ad_single
O333257,ca. 1755-1765,1755-1765,1755.0,1765.0,1760.0,parsed_ad_range
O25076,2nd century - 3rd century,2nd c-3rd c,101.0,300.0,200.0,parsed_century_range
O115397,ca. 1230- ca. 1240,1230-1240,1230.0,1240.0,1235.0,parsed_ad_range
O24843,4th century-5th century,4th c-5th c,301.0,500.0,400.0,parsed_century_range
O70354,1581-1584,1581-1584,1581.0,1584.0,1582.0,parsed_ad_range
O25065,1st century BC- 1st century AD,1st cbc-1st cad,-100.0,100.0,0.0,parsed_century_range
O64443,12th Century,12th c,1101.0,1200.0,1150.0,parsed_century_single
O24914,ca. 2nd century BC-2nd century AD,2nd cbc-2nd cad,-200.0,200.0,0.0,parsed_century_range
O19673,1974,1974,1974.0,1974.0,1974.0,parsed_ad_single
O24986,18th century,18th c,1701.0,1800.0,1750.0,parsed_century_single
O24948,4th century-5th century,4th c-5th c,301.0,500.0,400.0,parsed_century_range
O25034,2nd century-3rd century,2nd c-3rd c,101.0,300.0,200.0,parsed_century_range
O70293,ca. 1519,1519,1519.0,1519.0,1519.0,parsed_ad_single
O1785803,2022,2022,2022.0,2022.0,2022.0,parsed_ad_single
O1261148,2013,2013,2013.0,2013.0,2013.0,parsed_ad_single
O24975,12th century,12th c,1101.0,1200.0,1150.0,parsed_century_single
O4409,ca. 1965,1965,1965.0,1965.0,1965.0,parsed_ad_single
O24922,ca. 2nd century BC-2nd century AD,2nd cbc-2nd cad,-200.0,200.0,0.0,parsed_century_range
O10752,ca. 1761 - ca. 1764,1761-1764,1761.0,1764.0,1762.0,parsed_ad_range
O24774,14th  century- 15th century,14th c-15th c,1301.0,1500.0,1400.0,parsed_century_range
O25035,2nd century-3rd century,2nd c-3rd c,101.0,300.0,200.0,parsed_century_range
O141275,550-577,550-577,550.0,577.0,564.0,parsed_ad_range
O141261,550-577,550-577,550.0,577.0,564.0,parsed_ad_range
O455739,possibly 17th century,17th c,1601.0,1700.0,1650.0,parsed_century_single
O1261147,2012,2012,2012.0,2012.0,2012.0,parsed_ad_single
O25042,1st century-2nd century,1st c-2nd c,1.0,200.0,100.0,parsed_century_range
O25037,4th century,4th c,301.0,400.0,350.0,parsed_century_single
O70446,ca. 1526-1533,1526-1533,1526.0,1533.0,1530.0,parsed_ad_range
O24944,1st-2nd century A.D.,1st-2nd c a.d,1.0,200.0,100.0,parsed_century_range
O24943,1st-2nd century A.D.,1st-2nd c a.d,1.0,200.0,100.0,parsed_century_range
O1410935,1876,1876,1876.0,1876.0,1876.0,parsed_ad_single
O24945,1st-2nd century A.D.,1st-2nd c a.d,1.0,200.0,100.0,parsed_century_range
O70304,ca. 1520,1520,1520.0,1520.0,1520.0,parsed_ad_single
O24773,ca. 15th century,15th c,1401.0,1500.0,1450.0,parsed_century_single
O24739,ca. 18th century,18th c,1701.0,1800.0,1750.0,parsed_century_single
O135946,ca. 1904- ca. 1905,1904-1905,1904.0,1905.0,1904.0,parsed_ad_range
O24780,ca. 900,900,900.0,900.0,900.0,parsed_ad_single
O64237,7th century-8th century,7th c-8th c,601.0,800.0,700.0,parsed_century_range
O1533030,,,,,,no_date_text
O1533029,,,,,,no_date_text
O66216,1856,1856,1856.0,1856.0,1856.0,parsed_ad_single
O135952,ca. 1898,1898,1898.0,1898.0,1898.0,parsed_ad_single
O111507,ca. 1719-23,1719-23,1719.0,23.0,871.0,parsed_ad_range
O314595,1240-70,1240-70,1240.0,70.0,655.0,parsed_ad_range
O138802,1890,1890,1890.0,1890.0,1890.0,parsed_ad_single
O1364233,11th century,11th c,1001.0,1100.0,1050.0,parsed_century_single
O40929,ca. 1850,1850,1850.0,1850.0,1850.0,parsed_ad_single
O70338,1629,1629,1629.0,1629.0,1629.0,parsed_ad_single
O70781,ca. 1500,1500,1500.0,1500.0,1500.0,parsed_ad_single
O67329,ca. 1680-1690,1680-1690,1680.0,1690.0,1685.0,parsed_ad_range
O71513,ca. 1500-1520,1500-1520,1500.0,1520.0,1510.0,parsed_ad_range
O40991,1720-1730,1720-1730,1720.0,1730.0,1725.0,parsed_ad_range
O70385,ca. 1700,1700,1700.0,1700.0,1700.0,parsed_ad_single
O311807,ca. 1550-1600,1550-1600,1550.0,1600.0,1575.0,parsed_ad_range
O25011,12th century,12th c,1101.0,1200.0,1150.0,parsed_century_single
O88326,ca. 1670,1670,1670.0,1670.0,1670.0,parsed_ad_single
O1263608,1963,1963,1963.0,1963.0,1963.0,parsed_ad_single
O70483,ca. 1487-1515,1487-1515,1487.0,1515.0,1501.0,parsed_ad_range
O40977,ca. 1745,1745,1745.0,1745.0,1745.0,parsed_ad_single
O70263,after 1460,1460,1460.0,1460.0,1460.0,parsed_ad_single
O1807040,2024,2024,2024.0,2024.0,2024.0,parsed_ad_single
O24844,ca. 2nd century -4th century,2nd c-4th c,101.0,400.0,250.0,parsed_century_range
O75443,1837,1837,1837.0,1837.0,1837.0,parsed_ad_single
O128211,ca. 1883,1883,1883.0,1883.0,1883.0,parsed_ad_single
O180951,1760,1760,1760.0,1760.0,1760.0,parsed_ad_single
O41540,1873,1873,1873.0,1873.0,1873.0,parsed_ad_single
O111503,ca. 1719-23,1719-23,1719.0,23.0,871.0,parsed_ad_range
O141400,1957,1957,1957.0,1957.0,1957.0,parsed_ad_single
O130220,550-577,550-577,550.0,577.0,564.0,parsed_ad_range
O89192,ca. 1697-1715,1697-1715,1697.0,1715.0,1706.0,parsed_ad_range
O130746,1400 to 1600,1400 to 1600,,,,unparsed
O309427,late 16th century,16th c,1501.0,1600.0,1550.0,parsed_century_single
O49846,ca. 1930 - ca. 1932,1930-1932,1930.0,1932.0,1931.0,parsed_ad_range
O70421,1778,1778,1778.0,1778.0,1778.0,parsed_ad_single
O70806,ca. 1510,1510,1510.0,1510.0,1510.0,parsed_ad_single
O70592,1480,1480,1480.0,1480.0,1480.0,parsed_ad_single
O69530,8th century,8th c,701.0,800.0,750.0,parsed_century_single
O181135,early 8th century,8th c,701.0,800.0,750.0,parsed_century_single
O181134,early 8th century,8th c,701.0,800.0,750.0,parsed_century_single
O181133,early 8th century,8th c,701.0,800.0,750.0,parsed_century_single
O181131,early 8th century,8th c,701.0,800.0,750.0,parsed_century_single
O181130,early 8th century,8th c,701.0,800.0,750.0,parsed_century_single
O181129,early 8th century,8th c,701.0,800.0,750.0,parsed_century_single
